x,y
66,63
66,63
0,0
83,12
66,12
66,37
83,12
0,0
66,25
66,37
66,63
66,63
83,50
66,63
83,63
49,37
0,50
33,50
83,50
83,50
33,37
16,50
83,63
83,50
66,63
83,25
66,25
49,12
66,0
66,37
83,37
33,25
66,50
33,12
49,12
0,0
0,0
49,25
0,37
66,63
66,25
49,50
66,25
49,0
33,0
0,25
0,0
49,37
83,37
49,0
66,50
49,0
66,12
0,12
16,50
0,50
0,50
0,12
0,37
0,37
0,37
0,37
0,37
0,37
0,37
33,63
0,50
66,63
66,50
83,50
33,25
83,63
16,37
66,0
16,50
66,50
16,50
66,37
83,12
83,12
66,37
0,37
66,37
16,25
33,12
33,12
16,12
83,37
33,37
33,50
83,12
49,0
49,0
66,63
66,63
0,0
66,25
66,12
49,63
66,12
33,0
83,37
33,12
66,12
16,25
16,0
66,37
49,12
66,63
49,12
66,63
49,12
66,63
49,12
66,63
49,12
66,63
0,63
16,25
66,37
0,25
66,37
16,37
83,25
66,25
33,25
0,12
0,12
83,0
16,25
16,25
33,63
0,50
0,50
66,37
49,63
83,12
49,63
16,37
16,37
83,0
0,37
33,63
0,37
0,25
0,25
49,63
0,25
0,12
16,63
0,25
49,63
0,25
49,63
0,25
49,63
33,50
16,37
0,63
49,63
0,25
66,50
49,50
83,37
66,50
66,50
66,25
83,63
66,0
66,12
83,12
0,63
66,12
49,25
49,0
0,37
66,0
49,0
0,37
0,25
66,12
66,63
49,63
33,50
33,12
16,50
83,12
16,50
83,37
33,25
16,50
66,25
16,63
16,63
0,12
83,12
83,25
0,50
16,50
16,50
66,25
83,0
49,63
66,63
66,50
49,50
83,12
33,50
16,63
33,50
66,25
0,37
33,63
49,0
33,12
33,12
83,12
0,25
49,0
66,0
33,37
0,12
16,0
0,50
33,37
49,37
16,0
16,0
16,0
49,37
16,0
49,37
16,0
83,25
33,50
83,12
49,0
16,25
49,37
66,25
16,0
16,0
16,0
49,37
16,0
49,25
49,50
66,0
83,50
49,37
33,63
16,0
16,0
16,50
16,0
33,37
16,0
16,50
0,25
66,25
0,63
16,37
16,37
16,37
83,37
83,37
49,37
83,50
83,50
16,0
16,0
33,63
16,63
66,0
16,12
0,0
0,25
33,0
33,37
83,12
66,63
66,50
16,50
66,25
66,12
0,25
83,0
83,0
83,37
16,50
33,50
83,0
16,12
33,12
49,63
33,12
49,63
33,12
49,63
33,12
49,63
33,12
49,63
33,12
49,63
33,12
49,63
33,12
83,37
33,12
49,63
16,25
16,37
33,63
33,12
33,0
16,12
16,12
66,50
83,50
49,50
83,25
49,63
83,50
66,37
66,37
66,37
66,37
66,37
66,37
66,37
66,37
66,37
66,37
66,37
66,37
66,37
66,37
66,37
66,37
66,37
66,37
66,37
66,37
66,37
66,37
66,37
83,12
66,12
66,12
66,12
66,12
66,12
66,12
66,12
66,12
66,12
66,12
49,0
16,63
66,12
16,37
16,63
16,25
0,50
66,0
83,25
66,0
16,25
83,63
16,50
66,0
66,0
33,25
33,0
16,37
33,37
83,12
83,63
83,63
16,37
0,37
49,12
0,37
49,12
0,37
49,12
0,37
49,12
0,37
49,12
0,37
49,12
0,37
49,12
0,37
49,37
83,63
0,25
33,25
83,63
66,12
66,12
83,0
66,50
49,63
66,50
49,50
33,37
83,50
16,25
83,63
49,37
33,63
0,25
0,25
0,25
83,50
33,63
33,63
0,50
83,0
49,12
16,25
49,50
16,12
0,37
0,0
0,63
83,12
33,50
83,12
66,37
66,25
83,63
33,25
0,25
16,37
0,63
33,12
49,37
16,37
0,37
49,0
49,25
83,12
66,0
83,25
83,12
66,37
83,50
83,37
49,37
16,12
83,50
66,50
83,50
16,63
83,25
16,0
66,50
16,0
16,63
0,25
0,63
16,0
16,0
33,12
66,0
83,63
0,12
66,37
66,37
83,25
49,0
49,0
16,37
0,25
66,25
83,0
66,25
49,0
83,12
0,12
83,12
49,25
0,12
66,25
16,50
66,50
33,12
49,12
66,50
0,25
66,12
33,25
0,63
0,37
16,37
16,37
0,50
0,63
16,63
0,63
49,12
83,63
66,63
66,25
66,25
0,25
66,63
66,25
83,50
16,37
66,25
66,25
16,25
49,25
66,50
83,50
66,25
66,12
83,63
49,50
66,0
83,50
83,63
33,0
66,25
16,25
49,25
0,50
49,25
66,50
16,37
16,12
16,12
0,25
0,25
33,12
16,25
33,0
33,63
83,63
49,50
83,12
66,50
16,50
83,25
66,50
49,0
0,12
0,12
49,12
66,0
49,50
49,50
83,37
83,0
83,0
0,50
83,12
83,0
0,50
66,12
0,50
0,12
49,63
33,12
16,50
49,0
83,63
83,0
0,0
66,0
66,63
0,50
16,63
66,63
0,63
16,50
0,50
33,0
33,0
33,25
16,12
49,12
0,37
49,12
49,37
16,63
83,25
66,50
0,63
83,63
16,37
83,63
0,0
66,50
83,50
83,12
83,63
83,12
83,63
83,12
83,63
83,12
16,0
49,12
16,25
83,25
49,25
0,50
16,37
0,12
0,63
16,50
33,50
49,12
49,12
0,25
16,0
33,50
83,63
66,37
83,12
33,0
66,50
66,63
49,50
66,37
49,12
83,37
83,37
33,37
66,63
33,63
33,37
33,25
0,25
16,25
0,12
33,0
49,50
0,37
83,12
16,50
0,25
0,63
66,37
0,25
16,37
83,12
0,37
83,12
33,63
16,0
16,50
16,0
66,12
49,0
66,12
83,63
16,0
83,50
49,50
16,63
33,50
16,25
16,25
33,12
33,12
83,25
49,50
33,63
33,50
16,63
0,12
49,25
49,25
83,25
49,12
16,12
16,25
0,37
33,0
0,25
83,37
16,63
83,37
83,37
66,50
83,12
83,12
66,37
49,0
16,25
49,12
66,12
66,37
83,63
83,63
83,63
83,63
83,63
83,63
83,50
83,63
83,63
83,63
0,25
83,25
66,0
66,12
66,12
66,12
66,12
66,12
66,12
66,12
33,12
16,25
16,37
33,25
0,0
0,0
83,0
0,0
83,12
83,37
33,0
83,50
83,63
49,50
0,50
16,12
49,25
33,63
16,37
16,37
0,37
66,63
49,63
16,50
49,63
66,0
0,37
49,50
0,63
49,12
16,50
0,50
0,0
0,0
33,0
33,12
0,12
66,37
49,0
49,50
66,25
83,25
16,0
49,0
33,12
33,12
0,50
0,37
49,37
66,50
0,12
0,12
33,12
33,63
49,63
49,0
66,25
49,25
66,50
66,25
49,50
33,50
16,63
16,63
16,0
16,0
33,0
33,63
16,50
0,37
83,25
66,63
49,50
66,63
0,63
49,0
33,63
33,12
16,12
16,12
16,12
66,12
0,63
33,63
66,50
66,25
49,25
66,63
16,12
66,63
66,0
49,12
66,25
66,37
49,37
66,50
0,25
33,63
83,50
66,0
16,12
0,12
33,0
83,25
83,12
83,25
33,0
66,37
33,0
83,50
83,50
49,50
49,50
66,0
66,63
49,0
66,63
49,63
66,50
66,37
49,37
66,50
0,25
33,63
83,50
66,0
16,12
0,12
33,0
83,25
49,50
83,50
33,63
33,63
0,50
0,25
33,0
16,25
16,63
0,63
66,50
33,63
66,12
0,25
0,25
66,50
66,63
49,12
16,37
83,63
33,50
49,0
49,0
16,37
83,12
33,63
33,12
33,63
83,0
66,50
83,63
49,0
0,25
49,0
49,0
0,37
66,12
83,63
83,0
33,50
16,12
49,12
83,63
16,12
66,63
66,50
66,50
33,63
16,37
16,0
0,0
0,0
83,12
66,37
83,0
66,25
83,37
49,37
49,0
49,0
33,12
16,12
66,63
16,63
33,50
16,37
49,37
83,50
66,12
66,12
49,12
83,12
66,12
33,50
83,63
16,37
16,63
66,37
66,25
66,12
66,37
66,0
33,37
66,12
33,37
49,0
33,50
16,63
33,63
66,12
33,50
66,12
33,50
66,12
33,50
66,12
33,50
66,12
33,50
66,12
33,50
66,12
33,50
66,12
33,50
66,12
33,50
66,12
33,50
66,12
33,50
66,12
33,50
66,12
33,50
66,12
16,50
16,50
66,37
66,12
33,12
49,0
66,37
0,12
66,37
66,63
0,63
66,63
0,12
16,0
49,0
16,63
83,25
66,25
66,12
49,25
66,50
83,50
16,37
33,37
0,50
83,25
83,12
83,37
33,0
83,0
0,50
0,63
0,63
0,50
0,12
16,50
33,25
16,12
83,25
0,63
83,0
33,63
66,12
66,0
83,25
66,37
83,0
83,0
0,25
49,63
83,37
49,63
66,50
49,25
49,63
0,63
33,63
49,63
66,12
16,25
0,25
33,12
16,0
49,37
33,12
49,0
83,63
49,12
66,25
16,12
33,0
66,37
0,12
0,12
33,25
0,37
16,50
16,50
49,63
49,50
83,50
83,25
83,25
49,50
49,12
83,50
66,50
66,0
0,25
66,12
16,37
33,63
0,12
16,0
16,12
83,37
49,0
16,25
83,50
16,25
66,63
83,0
66,25
83,0
66,0
66,25
49,37
16,0
16,0
33,63
83,50
66,12
83,25
0,12
83,12
49,12
16,37
83,37
49,12
66,50
49,12
66,50
0,0
83,37
49,12
66,50
49,12
66,50
49,12
66,50
49,12
66,50
16,50
16,50
0,25
49,0
49,63
66,63
33,37
0,50
16,12
66,25
33,50
66,25
0,63
66,25
66,25
0,37
0,37
0,37
49,63
0,25
66,12
33,50
66,37
66,37
66,12
66,12
16,0
66,25
0,50
16,12
0,63
16,0
33,63
0,25
0,50
66,37
83,37
83,12
83,37
49,63
49,50
49,25
49,50
0,12
0,50
66,50
83,0
49,50
16,37
83,25
0,25
49,50
16,25
49,50
83,63
66,12
66,25
49,0
16,37
33,63
16,50
16,50
33,63
83,0
0,0
66,25
16,50
0,0
66,50
49,25
83,63
33,63
33,37
49,25
83,50
66,12
83,63
16,50
66,25
83,63
83,12
33,63
66,12
83,63
83,50
66,63
83,25
83,12
83,50
83,50
33,50
83,63
83,12
83,63
83,12
83,63
83,12
83,63
33,0
83,63
83,12
83,63
83,12
83,63
33,37
83,63
83,0
83,63
33,0
0,25
66,25
83,63
83,12
83,50
83,50
33,50
83,63
83,12
83,63
83,12
0,37
0,37
16,25
16,63
33,63
33,50
33,63
16,12
66,0
33,50
0,0
16,50
0,63
83,50
83,63
83,50
66,37
83,50
0,0
49,25
16,37
83,12
16,37
83,12
66,63
0,0
83,37
83,0
83,0
16,37
66,12
0,25
16,0
66,0
16,25
33,0
83,50
66,50
16,63
83,50
66,37
66,63
0,63
16,25
16,12
16,25
16,0
49,37
16,63
16,0
33,12
83,25
66,37
83,25
66,63
16,12
83,63
66,37
0,12
33,12
83,50
66,12
33,12
33,63
33,0
49,12
16,37
49,25
33,0
49,63
33,0
33,0
49,37
66,25
83,0
49,37
33,12
66,25
83,50
49,63
83,50
83,37
16,0
33,0
33,12
49,50
33,0
16,63
33,50
33,25
83,0
0,0
33,0
49,37
66,25
66,0
33,0
83,50
33,0
16,63
33,0
49,12
33,12
0,50
49,37
33,0
83,37
83,0
33,12
49,50
33,0
33,63
66,25
83,50
83,50
33,37
83,63
16,50
16,37
16,37
33,25
33,0
66,25
33,50
0,63
33,63
66,0
16,63
0,37
49,63
49,63
16,37
83,63
16,50
49,63
49,63
66,25
66,12
33,0
33,0
16,12
33,0
83,63
0,25
33,0
16,25
16,25
0,25
66,50
16,0
33,25
66,37
16,25
49,63
66,37
0,50
49,63
66,50
66,12
66,50
16,37
83,0
0,63
16,0
16,37
66,63
66,63
66,37
66,0
49,12
66,0
83,37
0,50
49,12
0,25
16,50
49,25
33,63
33,50
49,50
83,63
83,63
33,0
83,63
66,0
33,25
0,37
0,0
0,63
0,63
66,50
66,63
33,37
16,0
66,37
83,12
66,63
66,0
66,63
66,0
66,63
66,0
66,63
66,0
66,63
66,0
16,12
16,25
66,63
33,50
66,0
33,50
66,0
0,37
0,25
66,0
49,50
16,50
0,25
16,50
83,0
0,63
83,0
0,63
83,0
0,63
83,0
0,63
83,0
0,63
16,63
66,0
49,37
0,50
0,25
66,12
16,25
49,0
49,63
33,25
83,0
66,0
16,63
0,37
49,37
49,50
66,63
83,12
33,50
83,37
16,12
66,63
49,12
33,37
33,0
16,12
66,25
16,12
16,12
49,0
33,0
0,50
83,12
66,25
49,12
66,0
83,12
83,37
66,25
83,37
83,25
49,50
49,63
83,37
49,50
83,37
83,25
0,25
33,63
33,63
66,25
66,25
66,63
66,63
83,25
0,50
33,50
66,0
0,37
33,63
66,25
66,0
16,12
16,63
16,0
16,25
66,12
49,0
66,25
83,63
0,50
66,63
66,0
49,63
33,50
0,37
0,50
0,63
49,50
0,50
83,0
49,50
16,50
66,50
16,50
16,63
16,50
49,12
16,63
0,63
33,0
16,0
0,63
16,0
66,63
0,63
16,0
83,12
16,50
66,63
16,50
66,50
16,50
83,25
66,0
83,37
16,50
0,12
16,50
49,50
16,63
49,63
66,63
66,12
0,25
33,50
83,37
66,12
66,63
49,12
66,37
33,0
49,0
0,12
83,12
0,12
0,0
0,25
16,50
66,63
49,25
49,25
66,37
33,0
33,0
33,0
49,50
49,12
33,0
16,37
16,25
33,12
66,0
0,63
0,37
16,50
83,63
16,63
83,63
16,37
49,12
66,0
49,12
33,37
16,63
0,50
16,0
33,37
66,0
33,37
16,25
66,50
0,50
33,63
49,50
66,50
66,12
49,37
16,37
16,25
66,12
0,25
16,12
83,12
83,12
83,12
83,0
33,63
33,25
33,63
49,63
83,50
66,37
49,0
83,37
66,50
49,0
33,63
16,50
16,50
16,37
33,63
49,12
49,50
0,12
16,63
16,63
83,25
83,37
16,50
83,37
16,0
83,37
66,0
0,0
0,0
0,12
0,12
16,25
66,0
0,25
49,0
33,50
66,37
66,25
33,12
16,63
0,0
66,25
49,0
83,50
0,50
49,12
49,37
0,12
16,0
49,0
33,37
83,0
83,37
0,0
66,37
83,63
16,63
49,37
16,12
0,0
0,12
49,25
0,12
83,37
0,12
16,25
0,0
16,63
66,63
0,50
0,50
66,63
0,12
33,50
83,50
33,25
33,50
33,50
83,25
33,12
0,50
33,0
33,63
33,0
33,63
33,12
33,63
0,0
83,25
0,25
83,25
0,25
66,63
66,50
83,25
83,25
0,37
16,12
49,25
16,37
33,50
16,12
16,12
16,12
83,37
49,37
0,50
0,0
66,63
49,25
49,50
33,50
16,50
83,37
33,25
49,25
83,50
49,50
49,37
66,25
66,0
16,50
83,12
16,63
33,50
66,37
33,12
83,63
33,12
83,63
33,12
83,63
33,12
49,12
83,25
16,63
49,63
83,25
0,37
0,63
0,63
16,25
0,63
0,63
33,25
83,25
0,0
66,63
0,25
16,63
0,25
16,12
33,37
16,63
33,0
16,63
66,12
66,63
66,0
83,12
0,63
83,12
0,63
33,37
16,25
16,63
33,0
16,63
33,0
16,63
33,0
16,63
33,0
16,63
33,0
16,63
33,0
16,63
33,0
16,63
33,0
16,63
33,0
16,63
33,0
66,0
66,63
66,63
66,0
83,12
0,0
0,0
16,12
49,50
83,25
83,0
49,12
0,50
83,37
0,37
49,37
83,0
49,37
83,0
83,0
83,0
66,63
0,37
49,12
16,37
83,63
83,63
0,12
66,63
83,50
66,0
0,25
66,37
83,37
83,50
16,25
83,50
16,25
83,50
16,25
83,50
0,0
83,50
16,25
83,50
16,25
83,50
16,25
83,50
16,25
83,50
16,25
83,50
66,25
0,63
83,63
16,25
66,0
66,37
83,50
83,63
33,63
16,37
83,50
49,50
16,63
16,63
66,50
0,25
0,25
49,0
33,50
0,25
16,50
83,25
83,25
83,25
83,50
83,25
49,0
49,37
0,37
16,0
16,37
16,37
66,37
66,0
49,12
49,0
66,37
33,0
66,37
66,37
66,37
0,37
49,25
33,0
49,12
0,63
49,12
0,63
49,12
0,63
49,12
0,63
49,12
0,63
49,12
0,63
33,37
83,0
16,0
0,63
0,37
0,63
33,12
0,63
33,25
0,63
83,12
0,63
0,50
49,37
0,63
16,63
49,37
66,50
66,50
49,37
49,37
0,50
16,25
33,0
66,63
33,50
49,0
83,12
49,0
66,25
49,12
66,25
16,12
16,63
33,50
0,12
16,63
83,37
66,0
66,37
66,37
66,12
0,50
33,25
49,12
83,37
66,37
0,37
33,0
16,63
0,25
66,50
0,25
16,50
16,50
0,12
16,63
66,25
33,63
66,25
0,12
33,63
33,12
49,37
66,63
49,0
66,25
16,37
16,37
16,37
33,63
49,37
66,63
66,63
49,0
66,63
49,0
66,63
49,0
83,12
66,63
66,0
33,25
33,25
0,12
49,63
49,37
33,25
0,12
49,63
0,63
0,50
66,63
66,50
0,50
66,50
49,25
66,63
0,63
49,50
16,25
83,50
16,63
0,50
66,50
16,12
83,12
49,12
33,0
16,50
83,63
16,37
0,12
83,63
49,25
0,12
0,12
33,12
66,63
83,37
0,12
83,50
83,25
0,12
0,0
66,0
0,63
83,0
33,12
49,63
66,0
0,50
16,0
33,0
83,0
0,50
66,63
16,12
66,63
0,37
0,37
49,37
66,63
83,50
66,12
83,50
0,0
83,37
83,50
66,12
83,50
66,12
83,50
66,12
66,25
0,37
83,63
0,63
83,37
0,37
0,37
0,50
0,37
49,0
33,12
16,12
33,50
83,63
66,50
0,63
49,12
0,37
16,50
0,25
33,12
0,0
33,12
83,25
66,25
83,63
83,63
83,25
66,12
66,12
83,12
0,50
33,37
49,12
83,63
33,63
0,37
0,50
0,25
16,37
33,12
16,50
16,0
49,12
16,63
66,63
66,63
0,50
0,0
0,12
83,12
83,50
66,63
83,50
33,37
49,0
66,50
0,12
66,12
83,12
66,0
49,63
0,0
33,12
0,12
0,0
16,37
49,0
0,0
83,50
0,0
83,0
16,50
16,12
0,0
16,37
49,0
0,0
83,50
0,0
83,0
16,50
16,12
0,0
16,37
49,0
0,0
83,50
0,0
83,0
16,50
16,12
0,0
16,37
49,0
0,0
83,50
0,0
83,37
0,0
83,50
0,0
66,0
16,50
16,12
49,0
49,0
66,63
83,12
83,12
83,50
66,37
83,50
49,37
33,50
66,37
0,0
83,12
33,50
66,63
49,12
0,0
49,0
83,50
66,25
49,63
33,50
0,63
33,37
66,50
16,63
49,63
0,25
33,25
66,37
16,12
66,0
49,63
16,12
66,25
83,0
33,37
83,25
16,12
16,50
66,50
16,37
0,50
16,12
16,12
0,50
66,37
0,37
49,0
49,50
0,63
16,25
0,12
33,37
49,0
49,0
83,25
66,25
33,0
16,25
49,25
49,25
66,37
83,63
49,0
33,63
66,63
49,25
16,12
16,63
49,63
66,50
66,50
49,50
83,12
33,25
33,50
83,63
66,37
33,63
33,37
0,0
49,0
16,37
49,25
33,25
33,0
16,50
16,12
16,50
16,37
33,50
16,0
16,37
33,50
33,12
83,0
66,0
83,0
66,37
66,37
49,50
16,50
0,0
0,50
16,12
16,63
33,50
83,50
83,50
83,0
0,25
66,0
33,37
16,50
49,63
66,0
16,63
16,25
0,50
0,50
0,50
33,12
66,25
83,50
16,63
66,63
0,50
66,50
16,0
16,0
33,63
16,50
83,25
16,50
0,25
16,37
49,25
83,50
33,25
33,50
0,37
83,25
0,12
16,63
66,37
16,63
83,63
83,50
66,50
83,50
66,37
66,37
16,37
83,50
83,50
0,37
16,37
83,25
66,0
33,0
16,25
33,37
16,37
66,25
66,25
16,12
66,0
16,63
49,63
33,12
83,63
66,50
83,50
49,25
16,50
66,25
66,12
0,0
0,12
0,25
0,25
0,12
16,50
66,12
0,50
16,37
33,50
16,25
16,37
16,37
0,0
83,25
66,12
16,12
83,50
66,12
83,63
83,50
83,63
83,50
83,50
49,50
49,12
49,0
66,25
83,25
66,12
66,0
83,25
16,12
49,50
33,37
16,37
16,0
0,25
83,0
0,25
83,0
16,25
83,0
16,0
16,0
66,37
83,0
66,63
83,37
66,37
16,0
49,12
16,37
66,37
83,25
0,12
66,50
16,37
83,63
16,37
33,50
0,12
16,50
16,50
0,0
83,25
0,0
16,25
33,37
49,63
0,12
16,50
0,25
0,25
83,50
66,50
0,25
0,25
83,50
66,50
0,25
0,25
83,50
66,50
83,63
0,63
33,0
66,37
66,0
66,12
33,37
66,0
83,0
49,25
83,50
83,63
66,63
16,63
66,0
0,63
16,63
16,63
33,0
0,25
83,25
49,25
33,12
33,12
16,63
49,25
66,12
66,12
49,25
0,0
0,37
66,63
16,63
83,25
16,63
0,37
33,37
0,63
16,12
16,12
33,12
33,50
66,12
66,63
49,50
66,63
66,37
83,25
83,63
83,0
66,0
66,50
0,63
33,12
66,0
33,0
16,12
83,12
66,50
83,0
66,0
0,12
16,25
66,50
83,0
83,63
66,50
0,50
66,25
33,63
33,50
0,0
83,63
49,50
83,37
83,37
83,63
0,63
49,37
0,50
83,63
49,37
83,37
0,37
83,37
0,37
83,37
0,37
66,12
49,37
16,63
66,25
83,37
0,37
83,37
0,37
49,50
16,37
83,0
83,0
0,63
33,50
16,63
16,0
0,63
33,0
66,12
16,12
66,12
66,12
16,25
83,12
16,25
16,25
66,12
16,25
66,12
16,25
66,12
16,25
49,50
83,0
33,0
33,0
83,50
16,63
16,63
16,50
33,50
49,12
83,0
66,63
66,63
33,25
49,25
83,0
16,0
33,12
83,0
49,63
66,37
49,50
0,25
16,25
16,0
0,25
16,50
0,25
66,25
83,37
16,12
0,50
0,25
66,25
83,37
16,12
0,50
0,25
83,12
83,12
66,37
66,37
16,25
66,37
49,50
66,25
83,25
16,25
83,25
83,50
49,25
83,25
83,50
83,25
83,25
83,50
83,25
83,50
83,25
83,50
83,25
83,50
83,25
83,50
83,25
83,50
83,25
83,50
33,25
83,25
83,25
83,50
83,25
83,50
83,25
83,50
83,25
83,50
0,25
83,50
83,25
83,25
83,50
83,25
83,50
83,25
83,50
83,25
83,50
33,63
66,0
33,12
83,50
83,25
83,50
83,25
49,37
0,25
49,12
49,0
33,25
49,12
0,50
0,12
16,63
33,12
16,63
0,12
16,12
16,25
66,0
66,37
49,50
66,63
66,0
66,12
49,0
66,12
49,0
49,0
66,12
49,50
83,12
0,12
33,37
16,25
49,37
16,12
0,37
16,12
33,63
49,0
0,25
0,50
0,25
66,12
0,25
66,12
0,25
66,12
0,25
66,12
0,25
66,12
0,50
33,25
49,0
16,12
16,25
49,37
0,25
83,12
49,37
66,0
33,0
33,0
66,0
33,63
83,63
83,63
49,37
16,50
66,37
49,50
66,50
16,0
83,37
16,0
33,50
0,0
16,63
0,0
16,50
33,63
83,63
66,37
49,50
16,0
16,37
16,63
16,37
83,12
16,0
49,50
16,0
49,50
83,50
49,50
49,63
66,25
16,37
83,63
66,63
33,12
16,63
0,25
49,50
33,37
33,12
33,12
83,63
49,37
66,25
0,12
49,37
83,50
66,50
16,63
49,37
0,12
16,25
66,25
49,0
66,12
66,63
66,25
0,50
33,50
0,37
0,37
0,63
0,37
66,0
49,0
0,37
0,12
83,25
49,50
49,12
0,25
0,0
16,37
49,63
33,63
16,37
83,25
16,63
16,0
83,25
0,37
83,25
0,37
83,25
83,25
83,25
83,25
16,25
83,50
83,63
66,0
83,50
0,0
33,37
66,63
0,25
83,63
0,25
83,63
0,37
83,50
49,12
83,37
83,63
49,37
83,37
66,37
33,25
16,0
0,37
33,12
33,25
0,63
0,63
66,0
49,50
66,0
16,63
33,12
66,63
66,63
66,50
83,25
66,50
83,25
0,0
66,25
83,50
33,12
49,12
16,25
83,50
0,50
66,37
0,63
66,12
33,50
66,12
49,25
66,37
0,25
83,50
33,50
83,37
16,12
83,50
16,63
0,0
33,0
33,25
0,12
0,0
16,0
33,50
0,37
16,63
49,0
16,50
49,63
16,37
33,12
66,0
33,37
33,37
0,50
49,0
83,37
33,25
49,37
0,37
49,63
33,0
66,12
33,50
66,37
83,50
0,25
83,50
0,25
33,50
33,50
33,50
33,50
0,50
16,50
16,37
66,25
0,50
66,25
16,50
49,12
16,50
33,50
0,50
49,63
66,37
49,50
83,0
66,25
16,50
83,63
83,25
49,0
66,12
83,0
33,63
83,25
49,12
83,63
83,50
16,37
0,37
33,50
16,50
16,0
49,12
83,12
49,12
49,63
66,63
0,0
16,0
0,12
16,37
16,50
83,0
83,63
83,0
66,0
66,50
66,12
83,12
83,0
49,50
83,12
83,0
49,50
83,12
49,0
66,63
66,63
33,37
66,50
16,25
66,37
49,50
83,25
16,63
49,63
66,25
83,37
0,25
83,25
0,0
33,50
49,50
66,0
16,37
0,63
33,12
33,12
83,37
66,63
83,50
83,0
49,37
16,12
33,63
0,25
16,25
0,37
66,50
0,37
66,0
33,63
66,50
0,37
49,50
0,37
66,50
66,25
66,25
49,0
0,25
0,37
66,12
33,25
66,12
66,0
49,12
16,25
49,0
16,37
16,25
0,12
16,12
49,63
83,0
49,50
83,12
83,12
66,37
33,63
16,25
16,12
66,25
0,50
16,0
16,37
16,37
16,12
16,12
16,12
66,37
33,50
16,12
33,50
33,12
16,0
49,63
16,12
16,12
16,12
16,12
16,12
16,12
16,12
16,12
16,12
66,37
16,50
33,50
16,0
16,12
16,12
16,12
16,12
16,12
16,12
16,12
83,50
49,50
66,37
66,50
49,63
66,12
49,25
66,12
33,50
83,0
33,0
83,50
66,0
16,12
83,50
0,0
66,63
16,37
66,37
16,50
16,50
0,50
66,50
16,25
66,50
33,50
0,50
33,63
49,50
66,50
49,37
66,37
66,50
0,0
66,25
83,0
16,25
33,50
33,50
49,50
66,0
66,12
49,37
66,12
49,25
0,37
66,0
83,25
66,37
33,12
49,12
66,37
66,12
0,50
66,50
66,0
33,0
66,37
66,12
0,50
66,50
66,0
33,0
66,37
66,12
83,12
33,50
49,0
33,50
0,37
16,37
0,63
33,63
66,25
0,25
0,0
33,50
0,0
33,50
49,0
49,0
83,37
0,0
33,63
33,50
16,37
66,37
49,63
0,0
49,25
33,0
83,37
66,50
16,0
33,0
83,0
66,12
16,25
16,12
66,0
0,63
83,12
83,12
16,63
49,37
66,0
83,12
0,63
83,37
0,0
66,0
83,63
16,63
33,63
66,37
49,63
16,50
66,50
83,50
16,63
83,50
33,12
33,50
66,37
66,63
83,12
83,12
16,50
83,37
66,63
66,25
83,12
33,50
33,12
33,63
33,63
83,50
0,25
49,63
0,0
0,0
0,50
33,37
0,50
0,50
16,50
49,0
0,37
16,37
16,50
0,37
16,50
0,37
16,50
0,37
16,50
0,37
16,50
0,37
66,50
0,37
66,50
0,37
66,50
0,37
66,50
0,37
66,50
0,37
16,37
16,50
0,37
16,50
0,37
16,50
0,37
0,0
83,37
16,63
49,37
16,0
33,63
33,50
16,50
0,37
0,50
16,50
0,37
16,50
0,25
83,37
0,37
16,37
16,50
0,37
16,50
0,37
16,50
0,37
49,0
49,0
49,37
66,37
83,25
66,12
0,37
33,25
49,25
33,25
83,50
33,63
83,63
83,63
66,37
66,12
66,63
49,12
83,37
16,63
16,63
83,25
0,25
83,25
66,63
83,12
0,63
83,0
66,63
49,12
0,25
0,63
0,25
33,63
33,50
83,63
49,50
16,63
16,12
33,12
33,63
16,12
49,50
33,12
33,12
16,50
16,25
66,37
66,50
16,12
16,50
66,37
66,37
66,37
16,50
16,63
16,0
16,0
16,0
16,0
0,12
0,12
0,25
0,25
16,37
33,0
49,12
83,0
16,25
83,0
33,50
16,63
33,0
16,63
33,50
0,25
16,63
16,37
49,12
0,37
83,25
0,12
83,12
66,63
0,12
49,25
66,0
16,0
16,37
0,37
0,63
66,0
16,12
0,0
83,12
0,37
83,12
0,0
16,37
83,0
0,37
49,37
83,12
83,37
83,25
49,0
49,50
16,0
0,25
0,25
16,0
33,0
83,50
66,50
0,12
49,50
49,63
66,37
66,63
49,63
33,12
83,63
66,50
49,25
16,63
33,63
66,50
83,12
33,12
33,12
49,50
16,63
0,0
33,63
33,25
16,63
83,12
33,12
33,12
83,12
66,0
49,37
49,50
66,0
66,0
49,37
66,0
49,37
0,37
83,12
66,0
49,37
66,0
49,37
66,0
49,37
83,37
16,25
16,50
33,0
16,12
33,0
66,0
0,25
16,25
0,0
49,25
0,25
83,50
33,0
49,37
49,0
83,50
66,0
33,63
33,37
16,12
0,0
33,50
33,0
83,12
16,12
16,25
16,37
49,63
49,25
83,0
49,12
0,25
0,0
66,25
0,0
66,37
33,0
16,50
66,0
49,37
66,50
0,25
0,0
0,12
49,25
49,37
16,37
49,12
66,50
0,63
49,12
49,63
83,63
66,63
0,50
66,12
16,63
33,25
16,37
16,37
16,12
16,12
16,12
16,12
16,12
16,12
16,12
16,12
16,12
16,12
33,50
33,0
66,25
0,37
16,37
33,0
33,0
0,0
16,50
33,25
83,12
66,12
33,0
16,0
